The following results are for adding links using posts/add/.  When deleting links using posts/delete, response times are generally not much more than the ping time to the server.
Success-secs: 421819883.393  000.409
Success-secs: 421819884.809  001.291
Success-secs: 421819887.107  001.610
Fail #1-secs: 421819892.170  019.116
Success-secs: 421819911.287  000.173
Success-secs: 421819912.467  000.250
Success-secs: 421819913.732  001.643
Success-secs: 421819916.382  000.104
Success-secs: 421819917.494  000.355
Success-secs: 421819918.860  001.273
Fail #1-secs: 421819921.140  019.326
Success-secs: 421819940.467  000.196
Success-secs: 421819945.725  001.360
Success-secs: 421819951.324  001.287
Success-secs: 421819953.618  000.233
Success-secs: 421819954.860  001.440
Fail #1-secs: 421819957.307  018.327
Success-secs: 421819975.634  000.202
Fail #1-secs: 421819976.843  018.376
Success-secs: 421819995.219  000.205
Success-secs: 421819996.431  000.257
Success-secs: 421819997.697  000.308
Success-secs: 421820007.403  001.429
Fail #1-secs: 421820009.841  021.629
Success-secs: 421820031.471  000.162
Success-secs: 421820032.641  001.378
Fail #1-secs: 421820041.077  018.326
Success-secs: 421820059.404  000.221
Success-secs: 421820070.634  001.477
Success-secs: 421820077.711  000.275
Success-secs: 421820088.995  001.340
Success-secs: 421820091.342  000.294
Success-secs: 421820092.644  000.360
Success-secs: 421820095.157  001.530
Success-secs: 421820100.536  001.471
Fail #1-secs: 421820103.014  020.995
Success-secs: 421820124.010  000.239
Success-secs: 421820125.257  000.337
Fail #1-secs: 421820134.024  018.328
Success-secs: 421820152.352  000.219
Success-secs: 421820153.578  000.311
Success-secs: 421820154.926  001.357
Success-secs: 421820161.352  001.479
Success-secs: 421820163.838  000.114
Success-secs: 421820164.959  001.584
Success-secs: 421820170.376  000.267
Success-secs: 421820171.651  001.527
Fail #1-secs: 421820174.185  021.205
Success-secs: 421820195.391  000.261
Success-secs: 421820196.660  001.499
Fail #1-secs: 421820206.547  018.844
Success-secs: 421820225.392  001.210
Success-secs: 421820227.610  001.300
Success-secs: 421820230.393  000.117
Success-secs: 421820231.518  001.351
Success-secs: 421820236.549  001.447
Success-secs: 421820249.003  001.377
Success-secs: 421820251.389  000.269
Success-secs: 421820259.548  001.487
Fail #1-secs: 421820269.548  018.328
Success-secs: 421820287.876  000.191
Fail #1-secs: 421820289.549  018.325
Success-secs: 421820307.875  000.234
Success-secs: 421820317.974  000.120
Success-secs: 421820319.516  000.501
Success-secs: 421820321.027  000.300
Success-secs: 421820329.371  000.323
Success-secs: 421820330.703  001.392
Success-secs: 421820333.102  001.354
Success-secs: 421820335.463  001.448
Fail #1-secs: 421820339.353  018.329
Success-secs: 421820357.682  000.178
Success-secs: 421820358.867  001.391
Success-secs: 421820361.267  001.318
Success-secs: 421820369.124  000.329
Success-secs: 421820370.462  000.253
Success-secs: 421820371.729  000.286
Fail #1-secs: 421820373.197  018.328
Success-secs: 421820391.526  000.227
Success-secs: 421820392.784  000.394
Success-secs: 421820394.200  001.385
Success-secs: 421820396.600  000.104
Success-secs: 421820397.734  001.537
Fail #1-secs: 421820400.302  018.328
Success-secs: 421820418.630  000.245
Success-secs: 421820419.883  000.249
Success-secs: 421820421.139  000.339
Success-secs: 421820422.486  001.459
Success-secs: 421820424.952  000.262
Success-secs: 421820426.223  001.292
Success-secs: 421820428.523  001.469
Success-secs: 421820431.000  000.190
Success-secs: 421820432.199  000.114
Success-secs: 421820433.321  001.376
Success-secs: 421820435.705  001.352
Success-secs: 421820438.067  001.450
Success-secs: 421820440.534  001.438
Success-secs: 421820442.984  001.444
Success-secs: 421820445.436  000.235
Success-secs: 421820446.677  001.438
Success-secs: 421820449.154  001.420
Fail #1-secs: 421820451.588  019.329
Success-secs: 421820470.917  000.188
Success-secs: 421820472.112  000.117
Fail #1-secs: 421820473.237  018.330
Success-secs: 421820491.568  000.194
Success-secs: 421820492.770  000.329
Fail #1-secs: 421820494.107  018.329
Success-secs: 421820512.437  000.163
Success-secs: 421820513.606  001.478
Success-secs: 421820516.092  000.249
Fail #1-secs: 421820517.348  018.355
Success-secs: 421820535.703  000.187
Success-secs: 421820537.300  001.302
Success-secs: 421820542.775  001.492
Success-secs: 421820545.275  001.451
Success-secs: 421820547.734  000.159
Success-secs: 421820548.901  001.510
Fail #1-secs: 421820551.417  019.339
Success-secs: 421820570.757  000.157
Success-secs: 421820571.922  000.273
Success-secs: 421820573.203  001.477
Success-secs: 421820575.687  001.449
Fail #1-secs: 421820578.145  019.322
Success-secs: 421820597.467  000.215
Fail #1-secs: 421820598.691  018.325
Success-secs: 421820617.016  000.223
Success-secs: 421820618.247  001.381
Success-secs: 421820626.546  000.454
Success-secs: 421820628.008  001.451
Success-secs: 421820631.512  000.294
Success-secs: 421820636.540  001.421
Success-secs: 421820641.805  000.387
Success-secs: 421820645.533  001.337
Success-secs: 421820647.877  001.451
Success-secs: 421820650.407  001.388
Success-secs: 421820656.379  000.113
Success-secs: 421820657.500  000.431
Success-secs: 421820658.937  001.450
Success-secs: 421820661.396  000.299
Success-secs: 421820662.708  000.122
Success-secs: 421820663.840  000.259
Success-secs: 421820665.107  000.501
Success-secs: 421820666.617  001.452
Success-secs: 421820671.559  001.422
Success-secs: 421820676.510  001.484
Success-secs: 421820679.406  001.354
Fail #1-secs: 421820686.494  018.331
Success-secs: 421820704.826  000.172
Success-secs: 421820709.545  001.529
Success-secs: 421820712.081  001.449
Success-secs: 421820714.537  001.451
Fail #1-secs: 421820717.306  018.335
Success-secs: 421820735.642  000.228
Success-secs: 421820740.508  001.383
Success-secs: 421820742.899  001.350
Fail #1-secs: 421820747.011  018.332
Success-secs: 421820765.345  000.187
Success-secs: 421820770.369  001.528
Success-secs: 421820773.550  001.420
Success-secs: 421820785.979  000.455
Fail #1-secs: 421820787.441  018.323
Success-secs: 421820805.765  000.163
Success-secs: 421820807.386  001.303
Success-secs: 421820810.289  001.346
Success-secs: 421820813.270  001.427
Success-secs: 421820817.122  001.469
Success-secs: 421820819.601  001.447
Success-secs: 421820822.057  001.290
Success-secs: 421820824.466  000.575
Success-secs: 421820826.050  000.267
Success-secs: 421820827.326  001.403
Success-secs: 421820829.736  001.450
Success-secs: 421820832.195  001.321
Success-secs: 421820834.523  001.578
Success-secs: 421820837.241  000.134
Success-secs: 421820838.382  000.305
Success-secs: 421820840.311  000.286
Success-secs: 421820849.892  000.346
Success-secs: 421820851.245  001.445
Fail #1-secs: 421820855.117  018.332
Success-secs: 421820873.450  001.204
Success-secs: 421820879.337  000.114
Success-secs: 421820880.750  000.127
Success-secs: 421820881.885  001.524
Success-secs: 421820890.160  000.131
Fail #1-secs: 421820891.299  020.717
Success-secs: 421820912.017  000.246
Success-secs: 421820913.271  001.471
Fail #1-secs: 421820915.750  018.328
Success-secs: 421820934.078  000.178
Success-secs: 421820935.265  001.596
Success-secs: 421820944.346  000.305
Fail #1-secs: 421820945.659  018.390
Success-secs: 421820964.050  000.167
Success-secs: 421820965.249  000.486
Fail #1-secs: 421820975.650  018.330
Success-secs: 421820993.980  000.178
Success-secs: 421820996.735  001.564
Success-secs: 421821006.614  000.199
Success-secs: 421821007.820  001.538
Success-secs: 421821010.367  001.449
Success-secs: 421821012.823  000.149
Success-secs: 421821023.980  001.400
Success-secs: 421821036.390  000.615
Fail #1-secs: 421821042.126  018.324
Success-secs: 421821060.450  000.159
Success-secs: 421821070.275  001.442
Success-secs: 421821072.726  000.292
Success-secs: 421821074.025  001.380
Success-secs: 421821080.340  000.593
Success-secs: 421821081.942  000.306
Success-secs: 421821090.358  001.635
Success-secs: 421821100.291  001.532
Success-secs: 421821105.287  000.274
Success-secs: 421821106.567  001.314
Success-secs: 421821110.357  000.391
Success-secs: 421821111.756  001.434
Success-secs: 421821114.199  001.448
Success-secs: 421821120.276  001.514
Success-secs: 421821123.311  001.552
Success-secs: 421821127.284  001.572
Success-secs: 421821130.114  001.508
Success-secs: 421821135.319  000.119
Success-secs: 421821136.446  001.318
Success-secs: 421821138.771  001.452
Success-secs: 421821141.231  000.528
Fail #1-secs: 421821142.767  019.327
Success-secs: 421821162.095  000.254
Success-secs: 421821170.361  001.501
Fail #1-secs: 421821180.098  019.322
Success-secs: 421821199.421  000.174
Success-secs: 421821205.134  001.443
Fail #1-secs: 421821217.585  018.342
Success-secs: 421821235.928  000.184
Success-secs: 421821239.770  001.519
Success-secs: 421821242.298  001.447
Success-secs: 421821244.753  001.452
Success-secs: 421821248.984  001.519
Success-secs: 421821251.522  000.329
Success-secs: 421821252.859  001.640
Success-secs: 421821255.507  001.448
Success-secs: 421821260.021  001.542
Success-secs: 421821267.396  001.541
Success-secs: 421821269.945  000.160
Success-secs: 421821271.113  000.112
Success-secs: 421821272.233  000.292
Success-secs: 421821273.840  000.625
Success-secs: 421821275.472  001.452
Success-secs: 421821279.841  001.382
Success-secs: 421821283.790  000.312
Success-secs: 421821285.111  001.334
Success-secs: 421821287.452  001.452
Success-secs: 421821289.910  001.315
Success-secs: 421821295.907  001.598
Fail #1-secs: 421821298.512  024.893
Success-secs: 421821323.407  000.171
Success-secs: 421821333.497  001.485
Success-secs: 421821335.992  001.755
Success-secs: 421821345.883  000.324
Success-secs: 421821347.544  000.274
Fail #1-secs: 421821348.826  018.664
Success-secs: 421821367.490  000.197
Fail #1-secs: 421821368.988  018.340
Success-secs: 421821387.329  000.171
Success-secs: 421821388.506  001.463
Success-secs: 421821390.976  000.123
Success-secs: 421821394.376  001.737
Success-secs: 421821397.951  000.501
Success-secs: 421821404.290  000.331
Success-secs: 421821405.630  001.420
Success-secs: 421821408.058  000.117
Success-secs: 421821409.283  000.303
Success-secs: 421821411.203  001.499
Success-secs: 421821413.709  001.451
Success-secs: 421821416.635  001.597
Success-secs: 421821423.028  001.655
Fail #1-secs: 421821425.691  018.329
Success-secs: 421821444.021  000.168
Success-secs: 421821451.390  000.633
Success-secs: 421821454.448  002.491
Success-secs: 421821458.976  000.727
Success-secs: 421821461.243  002.146
Success-secs: 421821471.427  001.359
Success-secs: 421821473.796  001.573
Fail #1-secs: 421821476.376  018.335
Success-secs: 421821494.712  000.169
Success-secs: 421821501.522  001.497
Success-secs: 421821504.026  001.450
Success-secs: 421821506.482  000.152
Fail #1-secs: 421821507.642  024.253
Success-secs: 421821531.897  000.242
Success-secs: 421821535.887  001.397
Success-secs: 421821538.450  001.430
Success-secs: 421821547.311  000.190
Success-secs: 421821548.510  001.508
Success-secs: 421821551.024  001.451
Success-secs: 421821553.663  001.576
Success-secs: 421821556.247  000.146
Success-secs: 421821557.400  001.349
Success-secs: 421821559.950  000.384
Success-secs: 421821561.342  001.353
Success-secs: 421821563.703  001.294
Fail #1-secs: 421821566.005  021.294
Success-secs: 421821587.300  000.440
Success-secs: 421821598.747  000.346
Success-secs: 421821610.101  001.356
Success-secs: 421821616.397  001.510
Fail #1-secs: 421821627.742  018.334
Success-secs: 421821646.077  000.178
Fail #1-secs: 421821647.264  018.346
Success-secs: 421821665.611  000.195
Success-secs: 421821667.382  001.519
Success-secs: 421821670.283  001.349
Fail #1-secs: 421821672.642  018.387
Success-secs: 421821691.029  000.172
Fail #1-secs: 421821692.209  018.332
Success-secs: 421821710.542  000.225
Success-secs: 421821711.775  001.310
Success-secs: 421821714.091  001.307
Success-secs: 421821716.405  000.307
Success-secs: 421821717.724  001.462
Success-secs: 421821720.196  000.328
Success-secs: 421821721.532  001.435
Success-secs: 421821730.102  000.306
Success-secs: 421821731.416  001.383
Success-secs: 421821738.085  000.271
Success-secs: 421821739.364  001.300
Success-secs: 421821741.672  001.323
Fail #1-secs: 421821744.004  018.342
Success-secs: 421821762.346  000.186
Fail #1-secs: 421821763.578  018.336
Success-secs: 421821781.914  000.257
Success-secs: 421821783.179  001.534
Success-secs: 421821785.721  001.265
Success-secs: 421821787.997  001.467
Success-secs: 421821790.472  001.613
Success-secs: 421821793.094  000.838
Success-secs: 421821794.939  001.329
Success-secs: 421821797.277  001.577
Success-secs: 421821805.027  000.575
Fail #1-secs: 421821806.611  018.341
Success-secs: 421821824.951  000.199
Success-secs: 421821826.158  001.561
Success-secs: 421821832.279  000.153
Fail #1-secs: 421821834.360  019.328
Success-secs: 421821853.689  000.216
Success-secs: 421821855.055  000.175
Fail #1-secs: 421821856.237  018.334
Success-secs: 421821874.572  000.204
Success-secs: 421821875.783  001.395
Fail #1-secs: 421821878.186  018.341
Success-secs: 421821896.528  001.202
Fail #1-secs: 421821898.738  019.387
Success-secs: 421821918.125  000.216
Success-secs: 421821924.348  000.127
Fail #1-secs: 421821925.656  018.339
Success-secs: 421821943.995  000.173
Success-secs: 421821951.140  000.496
Success-secs: 421821952.646  001.331
Success-secs: 421821964.985  001.588
Success-secs: 421821967.582  001.755
Success-secs: 421821970.344  000.338
Success-secs: 421821971.690  001.332
Fail #1-secs: 421821974.065  018.341
Success-secs: 421821992.407  000.205
Fail #1-secs: 421821998.353  018.327
Success-secs: 421822016.680  000.198
Fail #1-secs: 421822017.885  018.345
Success-secs: 421822036.231  000.250
Fail #1-secs: 421822041.309  018.790
Success-secs: 421822060.099  000.366
Success-secs: 421822061.472  001.559
Success-secs: 421822067.552  000.124
Success-secs: 421822068.683  000.360
Success-secs: 421822070.442  001.497
Fail #1-secs: 421822072.947  018.333
Success-secs: 421822091.281  000.151
Success-secs: 421822092.439  000.332
Success-secs: 421822101.345  000.301
Success-secs: 421822102.654  001.539
Fail #1-secs: 421822105.201  018.335
Success-secs: 421822123.536  000.515
Success-secs: 421822125.058  000.310
Success-secs: 421822133.548  000.182
Success-secs: 421822134.738  000.482
Success-secs: 421822143.550  001.500
Success-secs: 421822150.166  001.642
Success-secs: 421822153.549  000.116
Success-secs: 421822154.672  001.437
Success-secs: 421822163.470  000.627
Success-secs: 421822165.106  001.448
Success-secs: 421822173.550  000.991
Success-secs: 421822175.549  000.528
Fail #1-secs: 421822183.741  018.441
Success-secs: 421822202.183  000.168
Success-secs: 421822208.370  000.144
Success-secs: 421822209.522  000.294
Success-secs: 421822210.823  001.503
Success-secs: 421822218.356  000.421
Success-secs: 421822219.786  000.310
Success-secs: 421822228.355  001.481
Fail #1-secs: 421822232.256  026.089
Success-secs: 421822258.345  000.222
Success-secs: 421822259.573  001.597
Success-secs: 421822268.357  001.415
Success-secs: 421822270.778  000.116
Success-secs: 421822271.902  001.556
Success-secs: 421822275.373  000.143
Fail #1-secs: 421822276.522  018.344
Success-secs: 421822294.867  000.488
Success-secs: 421822298.247  000.288
Fail #1-secs: 421822299.543  018.824
Success-secs: 421822318.367  000.175
Success-secs: 421822319.550  000.602
Success-secs: 421822321.160  000.310
Success-secs: 421822322.479  001.667
Success-secs: 421822330.362  001.461
Fail #1-secs: 421822332.834  020.336
Success-secs: 421822353.171  000.211
Success-secs: 421822354.389  001.396
Success-secs: 421822366.794  000.341
Success-secs: 421822368.143  001.466
Success-secs: 421822380.617  001.490
Fail #1-secs: 421822383.249  018.393
Success-secs: 421822401.644  000.201
Success-secs: 421822412.853  001.913
Success-secs: 421822415.775  001.450
Success-secs: 421822424.351  001.436
Fail #1-secs: 421822431.719  018.642
Success-secs: 421822450.362  000.234
Success-secs: 421822451.603  000.333
Success-secs: 421822454.409  000.147
Success-secs: 421822455.564  001.594
Success-secs: 421822468.378  000.292
Success-secs: 421822469.679  000.322
Success-secs: 421822471.008  001.521
Success-secs: 421822474.569  001.637
Success-secs: 421822479.557  023.990
Success-secs: 421822510.343  001.496
Success-secs: 421822512.847  000.341
Success-secs: 421822520.015  001.347
Success-secs: 421822522.371  001.352
Success-secs: 421822524.730  002.470
Success-secs: 421822531.545  001.490
Success-secs: 421822534.043  000.115
Success-secs: 421822535.167  000.276
Success-secs: 421822550.521  001.355
Success-secs: 421822552.883  001.350
Success-secs: 421822561.599  001.543
Success-secs: 421822570.362  000.460
Success-secs: 421822571.831  001.373
Success-secs: 421822574.211  000.606
Success-secs: 421822581.614  001.493
Success-secs: 421822584.115  000.133
Fail #1-secs: 421822591.614  018.330
Success-secs: 421822609.945  000.174
Success-secs: 421822611.884  001.332
Fail #1-secs: 421822614.223  018.335
Success-secs: 421822632.559  000.209
Success-secs: 421822633.983  001.052
Success-secs: 421823712.280  000.256
Success-secs: 421824861.096  000.213
Success-secs: 421824862.348  000.193
Success-secs: 421824863.579  000.184
Success-secs: 421824864.796  000.187
Success-secs: 421824866.013  000.182
Success-secs: 421824867.330  000.155
Success-secs: 421824868.530  001.630
Success-secs: 421824871.346  001.578
Success-secs: 421824873.963  000.212
Success-secs: 421824875.214  000.142
Success-secs: 421824876.514  000.176
Success-secs: 421824877.731  000.416
Success-secs: 421824879.164  000.171
Success-secs: 421824880.349  000.243
Success-secs: 421824881.931  000.101
Success-secs: 421824883.048  000.122
Success-secs: 421824884.598  001.537
Success-secs: 421824887.148  000.104
Success-secs: 421824888.265  000.120
Success-secs: 421824889.399  000.103
Success-secs: 421824890.649  000.108
Success-secs: 421824891.949  000.096
Success-secs: 421824893.065  000.104
Success-secs: 421824894.181  000.136
Success-secs: 421824895.331  000.102
Success-secs: 421824896.483  000.107
Success-secs: 421824897.615  000.100
Success-secs: 421824898.733  000.117
Success-secs: 421824899.866  000.110
Fail #1-secs: 421824901.049  018.389
Success-secs: 421824919.438  000.224
Success-secs: 421824920.684  000.108
Success-secs: 421824921.817  000.101
Success-secs: 421824922.950  000.143
Success-secs: 421824924.118  000.111
Success-secs: 421824925.251  000.098
Success-secs: 421824926.368  000.107
Success-secs: 421824927.501  000.260
Success-secs: 421824928.785  000.108
Success-secs: 421824929.918  000.117
Success-secs: 421824931.051  000.154
Success-secs: 421824932.251  000.093
Success-secs: 421824933.384  000.095
Fail #1-secs: 421824934.519  018.320
Success-secs: 421824952.839  000.181
Success-secs: 421824954.054  000.102
Success-secs: 421824955.204  000.122
Success-secs: 421824956.370  000.312
Success-secs: 421824957.721  000.115
Success-secs: 421824958.871  000.110
Success-secs: 421824960.020  000.095
Success-secs: 421824961.154  000.131
Success-secs: 421824962.337  000.134
Success-secs: 421824963.520  000.205
Success-secs: 421824964.754  000.105
Success-secs: 421824965.877  000.116
Success-secs: 421824967.025  000.108
Success-secs: 421824968.159  000.100
Success-secs: 421824969.276  000.107
Success-secs: 421824970.439  000.111
Success-secs: 421824971.588  000.098
Success-secs: 421824972.819  000.129
Success-secs: 421824973.988  000.106
Success-secs: 421824975.139  000.102
Success-secs: 421824976.278  000.147
Success-secs: 421824977.461  000.136
Fail #1-secs: 421824978.639  018.321
Success-secs: 421824996.962  000.172
Success-secs: 421824998.173  000.104
Success-secs: 421824999.295  000.128
Success-secs: 421825000.457  000.104
Success-secs: 421825001.580  000.121
Success-secs: 421825002.729  001.369
Success-secs: 421825005.156  000.105
Success-secs: 421825006.276  000.109
Success-secs: 421825007.424  000.118
Success-secs: 421825008.562  000.106
Success-secs: 421825009.727  000.136
Success-secs: 421825010.891  000.098
Success-secs: 421825012.030  000.106
Success-secs: 421825013.163  000.107
Success-secs: 421825014.296  000.113
Success-secs: 421825015.450  000.408
Success-secs: 421825016.910  000.107
Success-secs: 421825018.064  000.119
Success-secs: 421825019.214  000.160
Success-secs: 421825020.424  000.100
Success-secs: 421825021.567  000.101
Success-secs: 421825022.697  000.103
Success-secs: 421825023.831  000.197
Success-secs: 421825025.048  001.475
Success-secs: 421825027.558  001.400
Success-secs: 421825029.981  000.117
Success-secs: 421825031.149  000.113
Success-secs: 421825032.276  000.101
Success-secs: 421825033.426  000.151
Success-secs: 421825034.597  000.112
Success-secs: 421825035.762  000.128
Success-secs: 421825036.914  000.114
Success-secs: 421825038.064  000.111
Success-secs: 421825039.197  000.309
Success-secs: 421825040.531  000.108
Success-secs: 421825041.664  000.106
Success-secs: 421825042.799  000.102
Success-secs: 421825043.932  000.114
Success-secs: 421825045.065  000.113
Success-secs: 421825046.199  000.158
Fail #1-secs: 421825047.394  018.639
Success-secs: 421825066.034  000.156
Success-secs: 421825067.250  000.134
Success-secs: 421825068.429  000.110
Success-secs: 421825069.566  000.099
Success-secs: 421825070.684  000.118
Success-secs: 421825071.834  000.102
Success-secs: 421825072.967  000.103
Success-secs: 421825074.100  000.115
Success-secs: 421825075.235  000.104
Success-secs: 421825076.367  000.133
Success-secs: 421825077.999  000.120
